"type"¦"qualified name"¦"description"
"function"¦"apoc.math.round"¦"apoc.math.round(value,[prec],mode=[CEILING,FLOOR,UP,DOWN,HALF_EVEN,HALF_DOWN,HALF_UP,DOWN,UNNECESSARY])"
"function"¦"apoc.math.maxLong"¦"apoc.math.maxLong() | return the maximum value a long can have"
"function"¦"apoc.math.minLong"¦"apoc.math.minLong() | return the minimum value a long can have"
"function"¦"apoc.math.maxDouble"¦"apoc.math.maxDouble() | return the largest positive finite value of type double"
"function"¦"apoc.math.minDouble"¦"apoc.math.minDouble() | return the smallest positive nonzero value of type double"
"function"¦"apoc.math.maxInt"¦"apoc.math.maxInt() | return the maximum value an int can have"
"function"¦"apoc.math.minInt"¦"apoc.math.minInt() | return the minimum value an int can have"
"function"¦"apoc.math.maxByte"¦"apoc.math.maxByte() | return the maximum value an byte can have"
"function"¦"apoc.math.minByte"¦"apoc.math.minByte() | return the minimum value an byte can have"
