"type"¦"qualified name"¦"description"
"procedure"¦"apoc.text.phonetic"¦"apoc.text.phonetic(value) yield value - Compute the US_ENGLISH phonetic soundex encoding of all words of the text value which can be a single string or a list of strings"
"procedure"¦"apoc.text.phoneticDelta"¦"apoc.text.phoneticDelta(text1, text2) yield phonetic1, phonetic2, delta - Compute the US_ENGLISH soundex character difference between two given strings"
"function"¦"apoc.text.replace"¦"apoc.text.replace(text, regex, replacement) - replace each substring of the given string that matches the given regular expression with the given replacement."
"function"¦"apoc.text.regreplace"¦"apoc.text.regreplace(text, regex, replacement) - replace each substring of the given string that matches the given regular expression with the given replacement."
"function"¦"apoc.text.regexGroups"¦"apoc.text.regexGroups(text, regex) - return all matching groups of the regex on the given text."
"function"¦"apoc.text.join"¦"apoc.text.join(['text1','text2',...], delimiter) - join the given strings with the given delimiter."
"function"¦"apoc.text.clean"¦"apoc.text.clean(text) - strip the given string of everything except alpha numeric characters and convert it to lower case."
"function"¦"apoc.text.compareCleaned"¦"apoc.text.compareCleaned(text1, text2) - compare the given strings stripped of everything except alpha numeric characters converted to lower case."
"function"¦"apoc.text.urlencode"¦"apoc.text.urlencode(text) - return the urlencoded text"
"function"¦"apoc.text.urldecode"¦"apoc.text.urldecode(text) - return the urldecoded text"
"function"¦"apoc.text.lpad"¦"apoc.text.lpad(text,count,delim) YIELD value - left pad the string to the given width"
"function"¦"apoc.text.rpad"¦"apoc.text.rpad(text,count,delim) YIELD value - right pad the string to the given width"
"function"¦"apoc.text.format"¦"apoc.text.format(text,[params]) - sprintf format the string with the params given"
