"type"¦"qualified name"¦"description"
"procedure"¦"apoc.export.cypherAll"¦"apoc.export.cypherAll(file,config) - exports whole database incl. indexes as cypher statements to the provided file"
"procedure"¦"apoc.export.cypherData"¦"apoc.export.cypherData(nodes,rels,file,config) - exports given nodes and relationships incl. indexes as cypher statements to the provided file"
"procedure"¦"apoc.export.cypherGraph"¦"apoc.export.cypherGraph(graph,file,config) - exports given graph object incl. indexes as cypher statements to the provided file"
"procedure"¦"apoc.export.cypherQuery"¦"apoc.export.cypherQuery(query,file,config) - exports nodes and relationships from the cypher statement incl. indexes as cypher statements to the provided file"
