"type"¦"qualified name"¦"description"
"procedure"¦"apoc.plotgen.time.CreateTime"¦"apoc.plotgen.npc.CreateNPC - create a new NPC"
"procedure"¦"apoc.plotgen.time.SetDayLength"¦"apoc.plotgen.time.SetDayLength - sets the length of the world day in seconds"
"procedure"¦"apoc.plotgen.time.SetDayInYear"¦"apoc.plotgen.time.SetDayInYear - sets the number of the world days in the worlds"
"procedure"¦"apoc.plotgen.time.AdvanceADay"¦"apoc.plotgen.time.AdvanceADay - Advance Time one day"
"procedure"¦"apoc.plotgen.time.setAllAges"¦"apoc.plotgen.time.setAllAges - Advance Time one day"
"function"¦"apoc.plotgen.time.uuid"¦"apoc.create.uuid() - creates an UUID"
