"type"¦"qualified name"¦"description"
"procedure"¦"apoc.export.cypher.all"¦"apoc.export.cypher.all(file,config) - exports whole database incl. indexes as cypher statements to the provided file"
"procedure"¦"apoc.export.cypher.data"¦"apoc.export.cypher.data(nodes,rels,file,config) - exports given nodes and relationships incl. indexes as cypher statements to the provided file"
"procedure"¦"apoc.export.cypher.graph"¦"apoc.export.cypher.graph(graph,file,config) - exports given graph object incl. indexes as cypher statements to the provided file"
"procedure"¦"apoc.export.cypher.query"¦"apoc.export.cypher.query(query,file,config) - exports nodes and relationships from the cypher statement incl. indexes as cypher statements to the provided file"
